Timestamp,Nama Tempat Makan,Lokasi Tempat Makan,Nama Menu,Kategori Tempat,Harga,Kategori Harga,Tujuan Makan,Lauk/Bahan Utama,Rasa,Waktu Makan,Waktu Makan
6/1/2026 19:03:50,Burjo Bintang 6,Gondang,Nasi Ayam Balap,Burjo,18000,Sedang,"Kenyang, Praktis","Ayam, Mie, Nasi","Tidak Pedas, Asin/Gurih",Makan Siang,
6/1/2026 19:04:32,Ayam Saus Leleh,Bulusan,Nasi Ayam Geprek Saus Korean Spicy,Geprek,15000,Hemat,Kenyang,"Ayam, Nasi","Pedas, Asin/Gurih, Manis",Makan Siang,
6/1/2026 19:06:50, Ayam Saus Leleh,Bulusan,Nasi Ayam Geprek Keju Mayo,Geprek,15000,Hemat,Kenyang,"Ayam, Nasi","Pedas, Asin/Gurih, Manis",Makan Siang,
6/1/2026 19:07:00,Batterhub Tembalang,Tirto Agung,Paket Spicy Lava,Fast Food,27000,Mahal,Kenyang,Ayam,Pedas,Makan Siang,
6/1/2026 19:07:35,Ayam Saus Leleh,Bulusan,Nasi Ayam Geprek Mozarella,Geprek,15000,Hemat,Kenyang,"Ayam, Nasi","Pedas, Asin/Gurih",Makan Siang,
6/1/2026 19:08:22,Ayam Saus Leleh,Bulusan,Nasi Ayam Geprek Saus Mushroom,Geprek,15000,Hemat,Kenyang,"Ayam, Nasi","Pedas, Asin/Gurih",Makan Siang,
6/1/2026 19:09:13,Ayam Saus Leleh,Bulusan,Nasi Ayam Geprek Mentai,Geprek,16000,Sedang,Kenyang,"Ayam, Nasi","Pedas, Asin/Gurih, Manis",Makan Siang,
6/1/2026 19:14:14,Ayam Penyet Sami Seneng,Baskoro,Nasi Ayam Krispi,Penyetan,16000,Sedang,Kenyang,"Ayam, Nasi","Pedas, Asin/Gurih",Makan Malam,
6/1/2026 19:15:26,Ayam Penyet Sami Seneng,Baskoro,Nasi Bebek Kremes,Penyetan,29000,Mahal,Kenyang,"Ayam, Nasi","Pedas, Asin/Gurih",Makan Malam,
6/1/2026 19:16:46,Angkringan Pendopo,Timoho,Nasi Ayam Penyet + Es Teh,Penyetan,18000,Sedang,Kenyang,"Ayam, Nasi","Pedas, Asin/Gurih",Makan Malam,
